00674.ppm;399;574;420;598;1;0.5
00675.ppm;639;501;677;539;6;0.88
00675.ppm;669;396;708;435;6;0.68
00675.ppm;944;397;980;435;6;0.58
00675.ppm;1011;390;1038;417;5;0.54
00678.ppm;703;406;737;438;5;0.56
00679.ppm;837;233;942;338;6;0.51
00679.ppm;836;251;1024;459;6;0.62
00679.ppm;717;406;761;454;6;0.64
00679.ppm;704;341;768;408;3;0.85
00679.ppm;843;360;925;445;6;0.48
00680.ppm;366;439;397;470;6;0.76
00680.ppm;898;392;954;450;1;0.74
00680.ppm;122;248;146;273;2;0.5
00680.ppm;202;507;227;534;3;0.61
00681.ppm;821;435;846;459;1;0.78
00681.ppm;99;502;120;524;2;0.59
00682.ppm;278;424;321;469;6;0.75
00682.ppm;884;421;932;469;6;0.73
00682.ppm;263;511;289;538;3;0.62
00685.ppm;622;551;655;588;3;0.59
00686.ppm;377;435;413;474;1;0.83
00686.ppm;398;512;431;548;3;0.61
00686.ppm;380;440;408;470;1;0.47
00688.ppm;2;577;52;631;3;0.68
00688.ppm;850;409;886;446;3;0.78
00688.ppm;401;428;434;461;3;0.73
00689.ppm;594;492;618;514;2;0.61
00691.ppm;885;489;909;515;3;0.63
00692.ppm;1050;357;1092;399;1;0.75
00694.ppm;697;378;719;399;3;0.71
00694.ppm;1159;333;1196;371;1;0.57
00696.ppm;906;366;927;390;3;0.61
00696.ppm;1259;452;1314;504;2;0.58
00696.ppm;1232;491;1263;523;3;0.67
00696.ppm;1224;483;1266;526;3;0.58
00697.ppm;942;319;1023;393;2;0.77
00700.ppm;854;350;908;399;5;0.66
00701.ppm;1042;394;1090;442;1;0.79
00703.ppm;1004;364;1038;401;1;0.61
00703.ppm;998;355;1046;405;1;0.64
00704.ppm;753;509;779;535;3;0.54
00704.ppm;1172;205;1217;250;2;0.54
00704.ppm;769;414;791;438;1;0.64
00705.ppm;1243;35;1283;72;1;0.48
00705.ppm;1270;200;1331;267;6;0.65
00705.ppm;953;341;992;379;1;0.75
00705.ppm;1270;164;1328;218;5;0.51
00705.ppm;65;284;222;429;2;0.52
00712.ppm;931;359;985;416;1;0.79
00714.ppm;781;310;830;359;1;0.72
00714.ppm;787;316;824;353;1;0.51
00716.ppm;819;333;871;384;1;0.74
00719.ppm;935;393;967;423;1;0.68
00720.ppm;9;373;46;413;6;0.63
00721.ppm;899;353;937;389;5;0.66
00721.ppm;905;356;931;380;5;0.57
00722.ppm;990;328;1052;385;2;0.73
00722.ppm;617;303;644;330;5;0.53
00722.ppm;650;249;678;280;1;0.56
00722.ppm;606;261;633;287;1;0.63
00722.ppm;594;308;626;340;2;0.54
00722.ppm;109;371;158;416;2;0.6
00723.ppm;741;358;807;422;2;0.65
00723.ppm;752;365;795;404;2;0.6
00723.ppm;186;368;231;413;2;0.68
00723.ppm;686;359;724;401;3;0.58
00725.ppm;369;629;413;669;5;0.57
00731.ppm;1174;196;1208;230;6;0.48
00731.ppm;1095;223;1126;255;6;0.56
00731.ppm;1154;203;1180;228;6;0.53
00732.ppm;1289;196;1316;221;6;0.5
00733.ppm;508;425;544;462;1;0.67
00737.ppm;606;445;634;471;5;0.55
00737.ppm;474;450;504;477;5;0.59
00738.ppm;555;604;585;635;6;0.79
00738.ppm;1116;178;1196;253;6;0.52
00740.ppm;489;512;534;560;1;0.78
00740.ppm;1167;514;1209;556;1;0.52
00741.ppm;440;561;462;583;2;0.54
00742.ppm;960;554;996;587;1;0.76
00742.ppm;334;562;368;596;1;0.78
00742.ppm;1216;133;1244;161;6;0.48
00742.ppm;1253;116;1287;153;6;0.53
00745.ppm;613;598;638;624;6;0.65
00746.ppm;1135;531;1187;583;3;0.55
00746.ppm;234;467;282;517;1;0.73
00746.ppm;235;512;281;562;1;0.72
00746.ppm;1138;497;1177;533;1;0.49
